epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6858,1.36168,2.93895,2.02144,1.38536,0.50535,0.36398,0.37849,0.2075,0.48389,0.35153,0.34043,0.14987,1.54142,2.92536,2.10033,1.52751,0.000661578,0.000661578,0.000661578
2,41.6494,1.37165,2.52491,1.57703,1.35842,0.47827,0.43246,0.39864,0.20164,0.45605,0.39655,0.36326,0.14845,1.59541,2.8989,1.98046,1.57699,0.00131509,0.00131509,0.00131509
3,60.1456,1.34826,2.52486,1.4848,1.35265,0.48871,0.43822,0.40414,0.1996,0.4744,0.41239,0.37008,0.14795,1.68417,3.15879,2.21461,1.5849,0.00195541,0.00195541,0.00195541
4,78.4675,1.35343,2.49454,1.45124,1.35127,0.44813,0.43103,0.37936,0.18121,0.43587,0.41379,0.35752,0.14309,1.7023,2.7736,2.29309,1.61763,0.0019406,0.0019406,0.0019406
5,96.5508,1.30024,2.41955,1.3682,1.32017,0.56385,0.54358,0.52842,0.29462,0.53471,0.51772,0.48354,0.2107,1.44827,2.65531,1.5697,1.40347,0.0019208,0.0019208,0.0019208
6,115.148,1.26638,2.38825,1.30836,1.2929,0.59756,0.46312,0.50071,0.3068,0.60089,0.45402,0.48236,0.23771,1.42152,2.67252,1.56723,1.36533,0.001901,0.001901,0.001901
7,133.581,1.23481,2.32521,1.2703,1.28632,0.57661,0.54741,0.55623,0.33611,0.60139,0.53065,0.54286,0.25141,1.33698,2.48124,1.64984,1.29782,0.0018812,0.0018812,0.0018812
8,151.903,1.20535,2.26049,1.22343,1.25527,0.59648,0.54796,0.56107,0.33382,0.58493,0.52299,0.52248,0.22609,1.40737,2.5907,1.45432,1.36235,0.0018614,0.0018614,0.0018614
9,170.211,1.19849,2.26278,1.20321,1.25234,0.58724,0.48719,0.52521,0.33113,0.58357,0.47517,0.50215,0.25315,1.34986,2.49998,1.48841,1.34324,0.0018416,0.0018416,0.0018416
10,189.135,1.17333,2.20546,1.16502,1.24404,0.6334,0.49282,0.53652,0.33173,0.61917,0.47989,0.51356,0.25405,1.35291,2.49724,1.46989,1.32623,0.0018218,0.0018218,0.0018218
11,207.529,1.16874,2.20817,1.15579,1.23965,0.69141,0.57854,0.64966,0.42221,0.66953,0.57184,0.62083,0.31237,1.24701,2.37923,1.23305,1.25131,0.001802,0.001802,0.001802
12,225.902,1.13302,2.13816,1.09941,1.21222,0.67036,0.55125,0.59844,0.37914,0.66419,0.54215,0.57549,0.2881,1.30482,2.42443,1.32805,1.3005,0.0017822,0.0017822,0.0017822
13,244.328,1.12806,2.14193,1.09883,1.20286,0.6978,0.5364,0.60622,0.39512,0.68659,0.52778,0.58861,0.30501,1.24211,2.26259,1.34814,1.24057,0.0017624,0.0017624,0.0017624
14,262.932,1.10278,2.09733,1.06393,1.19068,0.71717,0.61084,0.676,0.45246,0.70757,0.59195,0.64951,0.33359,1.15983,2.23916,1.14178,1.17724,0.0017426,0.0017426,0.0017426
15,281.979,1.10045,2.10241,1.04673,1.19337,0.71648,0.57615,0.65195,0.44166,0.71319,0.56925,0.63574,0.34379,1.17341,2.2269,1.21211,1.19681,0.0017228,0.0017228,0.0017228
16,301.052,1.0777,2.07046,1.01221,1.17804,0.7682,0.60153,0.70546,0.48922,0.76453,0.59866,0.69386,0.37538,1.12348,2.14704,1.05795,1.1523,0.001703,0.001703,0.001703
17,319.543,1.07464,2.06068,1.01412,1.17592,0.73449,0.62667,0.70476,0.48653,0.7265,0.62213,0.69175,0.37413,1.11746,2.12328,1.04772,1.14753,0.0016832,0.0016832,0.0016832
18,338.099,1.05696,2.04356,0.98497,1.15908,0.77842,0.59435,0.68642,0.47023,0.76901,0.58716,0.66989,0.36632,1.17079,2.16618,1.20791,1.19285,0.0016634,0.0016634,0.0016634
19,356.53,1.04634,2.01607,0.96939,1.16122,0.71471,0.6203,0.68605,0.47333,0.71469,0.60584,0.66749,0.35262,1.1102,2.16044,1.09522,1.15193,0.0016436,0.0016436,0.0016436
20,375.439,1.03416,1.9906,0.95126,1.15119,0.74568,0.61788,0.68912,0.47064,0.73601,0.6092,0.66953,0.3587,1.11611,2.21846,1.09939,1.16404,0.0016238,0.0016238,0.0016238
21,394.382,1.02949,1.98787,0.93415,1.14664,0.7795,0.64128,0.73375,0.50858,0.77072,0.64607,0.72324,0.39605,1.06573,2.03416,1.01059,1.10612,0.001604,0.001604,0.001604
22,413.419,1.00731,1.96039,0.91642,1.13514,0.74191,0.5741,0.66218,0.46342,0.72404,0.57088,0.63995,0.35303,1.12377,2.14227,1.18866,1.16879,0.0015842,0.0015842,0.0015842
23,432.314,1.00011,1.97488,0.90837,1.12807,0.77038,0.63628,0.72505,0.51135,0.76369,0.63458,0.70672,0.40137,1.07246,2.0121,1.00758,1.11508,0.0015644,0.0015644,0.0015644
24,451.44,1.00626,1.92621,0.89762,1.13485,0.79852,0.64156,0.73452,0.52569,0.80314,0.63123,0.72447,0.39792,1.02394,2.00556,0.98701,1.08581,0.0015446,0.0015446,0.0015446
25,470.246,1.00347,1.92266,0.9083,1.1352,0.81611,0.68439,0.78227,0.57043,0.80334,0.67816,0.76553,0.41903,0.99831,1.99627,0.8852,1.05774,0.0015248,0.0015248,0.0015248
26,488.969,0.98508,1.89155,0.87071,1.11788,0.81659,0.69349,0.77454,0.5539,0.80218,0.68151,0.74525,0.41389,1.02408,1.9922,0.90542,1.07496,0.001505,0.001505,0.001505
27,507.172,0.97442,1.89727,0.86169,1.11222,0.80058,0.67098,0.75728,0.55044,0.79822,0.66523,0.74214,0.41376,1.00151,2.00475,0.91001,1.07001,0.0014852,0.0014852,0.0014852
28,525.911,0.96061,1.86379,0.85953,1.11177,0.80056,0.67098,0.75753,0.55296,0.78914,0.6614,0.74103,0.42118,0.97823,1.94576,0.95273,1.07637,0.0014654,0.0014654,0.0014654
29,544.569,0.93761,1.836,0.83062,1.09396,0.83396,0.69875,0.78382,0.57498,0.83222,0.68582,0.7631,0.42936,0.98152,1.94334,0.87042,1.0556,0.0014456,0.0014456,0.0014456
