epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.08774,1.77907,4.94921,2.88544,1.74204,0.01124,0.64732,0.12268,0.06687,0.00922,0.53125,0.0864,0.04116,1.60905,3.54201,2.9504,1.56609,0.00024,0.00024,0.00024
2,6.32275,1.35892,2.91313,2.47904,1.33498,0.01225,0.70536,0.14962,0.09005,0.01085,0.625,0.14264,0.06503,1.61492,3.62501,2.95377,1.5935,0.00049505,0.00049505,0.00049505
3,8.62126,1.40523,2.81857,2.06771,1.36223,0.01109,0.63839,0.12569,0.05931,0.00946,0.54464,0.09148,0.0343,1.65836,4.09336,2.93595,1.72746,0.000744952,0.000744952,0.000744952
4,10.8777,1.52356,2.75133,1.86271,1.46882,0.19762,0.17411,0.0942,0.03625,0.16392,0.14442,0.0601,0.0202,1.87551,4.57004,2.93407,1.99425,0.000989706,0.000989706,0.000989706
5,13.0815,1.49189,2.80094,1.81836,1.45574,0.29879,0.14732,0.13794,0.07265,0.27786,0.13393,0.11469,0.04704,1.83114,4.69843,2.7841,2.13621,0.00122931,0.00122931,0.00122931
6,15.4021,1.46982,2.74037,1.75192,1.42031,0.35731,0.14732,0.16496,0.08093,0.314,0.12946,0.13896,0.04374,1.76911,4.70544,2.70296,1.89151,0.00146377,0.00146377,0.00146377
7,21.0117,1.47555,2.67131,1.70228,1.40526,0.29659,0.20536,0.16232,0.06655,0.36274,0.125,0.12377,0.0375,1.8424,5.37992,2.69087,2.01765,0.00169308,0.00169308,0.00169308
8,31.1397,1.47406,2.7164,1.71566,1.42223,0.28113,0.16518,0.18129,0.0884,0.22159,0.17857,0.14533,0.05144,1.83968,5.54565,2.7365,1.99296,0.0018614,0.0018614,0.0018614
9,34.7246,1.42986,2.61079,1.64589,1.37217,0.17651,0.1875,0.10737,0.03621,0.15091,0.16518,0.08064,0.02374,2.27144,5.07783,3.30683,2.24401,0.0018416,0.0018416,0.0018416
10,43.7746,1.41796,2.49014,1.62596,1.38547,0.26052,0.30354,0.15761,0.06159,0.22543,0.23214,0.1128,0.03456,2.08686,5.14286,2.67924,2.07778,0.0018218,0.0018218,0.0018218
11,52.0243,1.43413,2.55967,1.6005,1.38548,0.15984,0.1875,0.08263,0.03001,0.1246,0.15625,0.06206,0.01943,2.23908,5.13951,2.93745,2.27247,0.001802,0.001802,0.001802
12,58.7556,1.40913,2.51412,1.56667,1.35262,0.33384,0.18304,0.18029,0.06922,0.23872,0.16071,0.11288,0.03971,1.97457,4.47717,2.96373,2.15683,0.0017822,0.0017822,0.0017822
13,66.8338,1.38791,2.56671,1.53224,1.36369,0.4735,0.20536,0.23703,0.11644,0.39115,0.16964,0.17176,0.05804,1.98312,4.40768,2.44233,1.91803,0.0017624,0.0017624,0.0017624
14,71.3167,1.3948,2.60685,1.57166,1.36618,0.24289,0.1875,0.16197,0.07913,0.22803,0.15625,0.11231,0.04506,2.10596,9.20617,3.01038,2.15846,0.0017426,0.0017426,0.0017426
15,77.7053,1.4015,2.46593,1.49899,1.3555,0.47813,0.3125,0.31485,0.16605,0.4777,0.30216,0.28492,0.11249,1.71885,3.64479,2.42803,1.67929,0.0017228,0.0017228,0.0017228
16,79.9522,1.32408,2.41704,1.42818,1.33302,0.31901,0.38839,0.31285,0.15288,0.28359,0.38839,0.25328,0.10306,1.7873,3.55922,2.54042,1.70162,0.001703,0.001703,0.001703
17,82.1905,1.3181,2.44316,1.4419,1.3354,0.43231,0.42411,0.37366,0.17315,0.39135,0.38393,0.29852,0.12754,1.83893,3.44855,2.5157,1.79157,0.0016832,0.0016832,0.0016832
18,84.4666,1.36633,2.53507,1.47401,1.3583,0.49886,0.33331,0.31866,0.14847,0.37902,0.37946,0.28605,0.11185,1.87429,3.58456,2.70294,1.77743,0.0016634,0.0016634,0.0016634
19,86.6226,1.31252,2.45385,1.43829,1.35557,0.35677,0.41964,0.3542,0.16008,0.3302,0.40625,0.29423,0.12438,1.81416,3.34919,2.41039,1.75153,0.0016436,0.0016436,0.0016436
20,92.4467,1.2834,2.45747,1.42136,1.30944,0.40335,0.32589,0.27924,0.14289,0.37853,0.31696,0.24995,0.09714,1.92774,3.36601,2.81704,1.86299,0.0016238,0.0016238,0.0016238
21,96.8311,1.29584,2.37114,1.4194,1.31542,0.37829,0.35268,0.31005,0.14761,0.35108,0.34055,0.26502,0.10519,1.84288,3.29424,2.52888,1.78209,0.001604,0.001604,0.001604
22,99.0591,1.29924,2.42706,1.40276,1.32138,0.47695,0.30357,0.30012,0.13388,0.41467,0.30357,0.26313,0.09973,1.83885,3.06374,2.41241,1.90885,0.0015842,0.0015842,0.0015842
23,101.365,1.26066,2.34545,1.30656,1.28193,0.46699,0.37946,0.31226,0.1589,0.43009,0.36161,0.28453,0.11019,1.85662,3.23973,2.50506,1.82337,0.0015644,0.0015644,0.0015644
24,104.931,1.2675,2.35036,1.33012,1.27992,0.4373,0.34375,0.3514,0.18161,0.36865,0.36161,0.30106,0.13173,1.77493,3.06516,2.25415,1.74647,0.0015446,0.0015446,0.0015446
25,110.855,1.26178,2.46604,1.36887,1.30589,0.48729,0.40309,0.36162,0.19363,0.47205,0.39286,0.34409,0.1475,1.73513,3.23631,2.25649,1.71114,0.0015248,0.0015248,0.0015248
26,114.878,1.23903,2.35528,1.31827,1.27571,0.41162,0.38393,0.35526,0.18916,0.40778,0.39286,0.33558,0.14392,1.7619,3.09138,2.19883,1.69544,0.001505,0.001505,0.001505
27,121.159,1.23203,2.30273,1.28764,1.247,0.58522,0.33929,0.37175,0.20055,0.51496,0.30804,0.29802,0.12375,1.70367,3.33461,2.0645,1.68118,0.0014852,0.0014852,0.0014852
28,125.754,1.27044,2.35954,1.29717,1.28383,0.52194,0.33929,0.37202,0.21269,0.47837,0.34375,0.33144,0.15529,1.63218,3.28617,2.43926,1.54719,0.0014654,0.0014654,0.0014654
29,129.052,1.24918,2.29286,1.29302,1.27092,0.55676,0.32525,0.36012,0.21718,0.52016,0.32589,0.34025,0.1551,1.62584,3.37612,2.1222,1.58226,0.0014456,0.0014456,0.0014456
30,135.226,1.22734,2.36356,1.26968,1.25603,0.48874,0.37054,0.35824,0.19612,0.49381,0.37054,0.34878,0.15183,1.71434,3.2008,1.98992,1.61995,0.0014258,0.0014258,0.0014258
31,139.679,1.23014,2.2572,1.2433,1.26404,0.55074,0.38856,0.39483,0.22286,0.55707,0.38742,0.38392,0.17648,1.67108,3.10465,1.94381,1.54908,0.001406,0.001406,0.001406
32,143.657,1.18809,2.271,1.22588,1.23193,0.4947,0.40625,0.37325,0.21186,0.48348,0.40534,0.36087,0.1607,1.61546,2.95015,1.96813,1.58215,0.0013862,0.0013862,0.0013862
33,147.027,1.20945,2.2561,1.21886,1.23749,0.55398,0.42411,0.39022,0.22986,0.55398,0.42411,0.37947,0.16659,1.59169,3.04392,1.85799,1.54419,0.0013664,0.0013664,0.0013664
34,149.334,1.13547,2.16618,1.185,1.22175,0.47813,0.38039,0.35263,0.19658,0.43126,0.34375,0.27738,0.12107,1.58571,3.10809,1.94422,1.61366,0.0013466,0.0013466,0.0013466
35,151.455,1.19565,2.23644,1.20541,1.2526,0.48969,0.38839,0.35192,0.19349,0.49531,0.39286,0.34888,0.15306,1.64378,3.11295,2.10885,1.56182,0.0013268,0.0013268,0.0013268
36,153.558,1.18038,2.2051,1.18609,1.23475,0.46955,0.43865,0.37274,0.21804,0.43708,0.40179,0.32554,0.16896,1.61441,3.05745,1.96989,1.61336,0.001307,0.001307,0.001307
37,155.643,1.16482,2.18173,1.15948,1.22519,0.4128,0.38839,0.32917,0.20206,0.39967,0.38043,0.30868,0.15712,1.62902,3.12833,2.133,1.60049,0.0012872,0.0012872,0.0012872
38,157.701,1.18939,2.22918,1.15227,1.23999,0.43243,0.41964,0.36992,0.23102,0.42783,0.41518,0.36002,0.17665,1.55801,3.10412,2.06443,1.56485,0.0012674,0.0012674,0.0012674
39,159.772,1.09806,2.09787,1.09957,1.19509,0.43314,0.39286,0.36036,0.22612,0.41728,0.37946,0.35299,0.16716,1.59123,3.08927,2.01645,1.61382,0.0012476,0.0012476,0.0012476
