epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4331,1.38741,3.01348,2.0687,1.40219,0.51817,0.45402,0.42268,0.22972,0.49652,0.43056,0.38488,0.16248,1.46393,2.82471,1.92388,1.41118,0.000661578,0.000661578,0.000661578
2,40.1,1.35209,2.50415,1.53321,1.3312,0.4847,0.45977,0.42883,0.21707,0.4315,0.46695,0.39131,0.1623,1.63243,2.95415,2.25329,1.58419,0.00131509,0.00131509,0.00131509
3,57.4243,1.32874,2.47449,1.42241,1.32931,0.60266,0.50559,0.52262,0.3014,0.60794,0.48803,0.50166,0.23386,1.48425,2.74874,1.56174,1.43065,0.00195541,0.00195541,0.00195541
4,74.2467,1.31732,2.41769,1.34994,1.31839,0.62396,0.52778,0.55994,0.33412,0.59714,0.52059,0.53532,0.25057,1.41166,2.59648,1.69951,1.34879,0.0019406,0.0019406,0.0019406
5,91.3314,1.26639,2.33708,1.24709,1.28175,0.67114,0.54406,0.59156,0.3673,0.66635,0.52586,0.57204,0.28377,1.36344,2.44722,1.37005,1.31659,0.0019208,0.0019208,0.0019208
6,107.954,1.2319,2.30601,1.20047,1.25209,0.65591,0.55125,0.60048,0.36771,0.64515,0.5364,0.5756,0.28584,1.39741,2.47604,1.36811,1.33132,0.001901,0.001901,0.001901
7,125.761,1.18904,2.24051,1.15263,1.2406,0.65324,0.61015,0.64196,0.41348,0.66486,0.59674,0.62678,0.31678,1.28847,2.34477,1.23223,1.23151,0.0018812,0.0018812,0.0018812
8,142.93,1.15977,2.17648,1.1052,1.21213,0.66594,0.62153,0.65271,0.41843,0.6487,0.60201,0.61984,0.29707,1.24943,2.46674,1.27278,1.22695,0.0018614,0.0018614,0.0018614
9,160.124,1.15343,2.18123,1.07733,1.20826,0.70155,0.62932,0.67365,0.44633,0.69414,0.62452,0.66176,0.34547,1.23045,2.25955,1.1932,1.20779,0.0018416,0.0018416,0.0018416
10,176.796,1.12055,2.12348,1.03497,1.19485,0.72605,0.56466,0.65863,0.45233,0.71276,0.56034,0.63741,0.34178,1.18921,2.24544,1.16305,1.19139,0.0018218,0.0018218,0.0018218
11,193.411,1.11513,2.11247,1.02174,1.19245,0.7065,0.60824,0.67635,0.44842,0.71575,0.60345,0.66031,0.3482,1.21451,2.20827,1.12576,1.20667,0.001802,0.001802,0.001802
12,210.13,1.07958,2.0416,0.97427,1.16519,0.74735,0.63506,0.71532,0.49134,0.74521,0.63175,0.70108,0.38455,1.16243,2.11216,1.02785,1.16767,0.0017822,0.0017822,0.0017822
13,226.99,1.0745,2.06533,0.97766,1.15572,0.7768,0.64416,0.72278,0.49295,0.77933,0.64368,0.71362,0.38131,1.13105,2.16273,1.04014,1.14111,0.0017624,0.0017624,0.0017624
14,243.572,1.05368,2.01168,0.9334,1.1464,0.80082,0.66667,0.75368,0.52898,0.80557,0.64703,0.73813,0.40579,1.08499,2.10568,0.92563,1.10577,0.0017426,0.0017426,0.0017426
15,260.198,1.04518,2.01892,0.9234,1.14735,0.78036,0.67098,0.7544,0.53565,0.77977,0.66523,0.73946,0.39791,1.06361,2.06648,0.95588,1.09386,0.0017228,0.0017228,0.0017228
16,276.428,1.03429,1.99593,0.90932,1.14282,0.7985,0.68343,0.76801,0.54931,0.80532,0.6772,0.75967,0.41473,1.02666,1.98135,0.93219,1.07651,0.001703,0.001703,0.001703
17,294.118,1.02547,1.96913,0.89393,1.13703,0.79984,0.66026,0.74865,0.53102,0.80184,0.65134,0.73079,0.39577,1.05723,2.04635,0.93828,1.09363,0.0016832,0.0016832,0.0016832
18,311.149,1.00807,1.95903,0.86708,1.12157,0.81629,0.6831,0.77555,0.55662,0.80506,0.68439,0.76389,0.42125,1.02395,2.05035,0.88857,1.06572,0.0016634,0.0016634,0.0016634
19,328.206,1.00211,1.94792,0.86797,1.12106,0.82956,0.67912,0.77847,0.55979,0.8162,0.66858,0.75204,0.40879,1.01421,2.02005,0.8815,1.07053,0.0016436,0.0016436,0.0016436
20,345.508,0.98722,1.90934,0.84779,1.1092,0.81317,0.69831,0.78661,0.56669,0.81211,0.68534,0.76466,0.43295,1.00647,2.00179,0.89217,1.06753,0.0016238,0.0016238,0.0016238
21,362.676,0.96765,1.90699,0.82473,1.09778,0.78249,0.70594,0.77799,0.56915,0.80499,0.68487,0.76388,0.43348,0.98961,1.99967,0.87522,1.05012,0.001604,0.001604,0.001604
